"";"Country.Region";"Lat";"Long";"date";"name";"confirmed";"death";"recovered"
"77";"Afghanistan";33;65;2020-04-07;"Afghanistan";56;3;0
"78";"Afghanistan";33;65;2020-04-08;"Afghanistan";21;0;11
"79";"Afghanistan";33;65;2020-04-09;"Afghanistan";40;1;3
"80";"Afghanistan";33;65;2020-04-10;"Afghanistan";37;0;0
"81";"Afghanistan";33;65;2020-04-11;"Afghanistan";34;3;0
"82";"Afghanistan";33;65;2020-04-12;"Afghanistan";52;0;0
"83";"Afghanistan";33;65;2020-04-13;"Afghanistan";58;3;0
"84";"Afghanistan";33;65;2020-04-14;"Afghanistan";49;2;8
"85";"Afghanistan";33;65;2020-04-15;"Afghanistan";70;2;3
"86";"Afghanistan";33;65;2020-04-16;"Afghanistan";56;5;11
"87";"Afghanistan";33;65;2020-04-17;"Afghanistan";66;0;45
"88";"Afghanistan";33;65;2020-04-18;"Afghanistan";27;0;13
"89";"Afghanistan";33;65;2020-04-19;"Afghanistan";63;3;19
"90";"Afghanistan";33;65;2020-04-20;"Afghanistan";30;3;4
"91";"Afghanistan";33;65;2020-04-21;"Afghanistan";66;0;15
"92";"Afghanistan";33;65;2020-04-22;"Afghanistan";84;4;16
"93";"Afghanistan";33;65;2020-04-23;"Afghanistan";103;2;13
"94";"Afghanistan";33;65;2020-04-24;"Afghanistan";72;1;9
"95";"Afghanistan";33;65;2020-04-25;"Afghanistan";112;4;0
"96";"Afghanistan";33;65;2020-04-26;"Afghanistan";68;3;19
"97";"Afghanistan";33;65;2020-04-27;"Afghanistan";172;7;13
"98";"Afghanistan";33;65;2020-04-28;"Afghanistan";125;1;8
"99";"Afghanistan";33;65;2020-04-29;"Afghanistan";111;2;24
"100";"Afghanistan";33;65;2020-04-30;"Afghanistan";232;4;8
"101";"Afghanistan";33;65;2020-05-01;"Afghanistan";164;4;50
"102";"Afghanistan";33;65;2020-05-02;"Afghanistan";134;4;21
"103";"Albania";41,1533;20,1683;2020-01-22;"Albania";0;0;0
"104";"Albania";41,1533;20,1683;2020-01-23;"Albania";0;0;0
"105";"Albania";41,1533;20,1683;2020-01-24;"Albania";0;0;0
"106";"Albania";41,1533;20,1683;2020-01-25;"Albania";0;0;0
"107";"Albania";41,1533;20,1683;2020-01-26;"Albania";0;0;0
"108";"Albania";41,1533;20,1683;2020-01-27;"Albania";0;0;0
"109";"Albania";41,1533;20,1683;2020-01-28;"Albania";0;0;0
"110";"Albania";41,1533;20,1683;2020-01-29;"Albania";0;0;0
"111";"Albania";41,1533;20,1683;2020-01-30;"Albania";0;0;0
"112";"Albania";41,1533;20,1683;2020-01-31;"Albania";0;0;0
"113";"Albania";41,1533;20,1683;2020-02-01;"Albania";0;0;0
"114";"Albania";41,1533;20,1683;2020-02-02;"Albania";0;0;0
"115";"Albania";41,1533;20,1683;2020-02-03;"Albania";0;0;0
"116";"Albania";41,1533;20,1683;2020-02-04;"Albania";0;0;0
"117";"Albania";41,1533;20,1683;2020-02-05;"Albania";0;0;0
"118";"Albania";41,1533;20,1683;2020-02-06;"Albania";0;0;0
"119";"Albania";41,1533;20,1683;2020-02-07;"Albania";0;0;0
"120";"Albania";41,1533;20,1683;2020-02-08;"Albania";0;0;0
"121";"Albania";41,1533;20,1683;2020-02-09;"Albania";0;0;0
"122";"Albania";41,1533;20,1683;2020-02-10;"Albania";0;0;0
"123";"Albania";41,1533;20,1683;2020-02-11;"Albania";0;0;0
"124";"Albania";41,1533;20,1683;2020-02-12;"Albania";0;0;0
"125";"Albania";41,1533;20,1683;2020-02-13;"Albania";0;0;0
"126";"Albania";41,1533;20,1683;2020-02-14;"Albania";0;0;0
"127";"Albania";41,1533;20,1683;2020-02-15;"Albania";0;0;0
"128";"Albania";41,1533;20,1683;2020-02-16;"Albania";0;0;0
"129";"Albania";41,1533;20,1683;2020-02-17;"Albania";0;0;0
"130";"Albania";41,1533;20,1683;2020-02-18;"Albania";0;0;0
"131";"Albania";41,1533;20,1683;2020-02-19;"Albania";0;0;0
"132";"Albania";41,1533;20,1683;2020-02-20;"Albania";0;0;0
"133";"Albania";41,1533;20,1683;2020-02-21;"Albania";0;0;0
"134";"Albania";41,1533;20,1683;2020-02-22;"Albania";0;0;0
"135";"Albania";41,1533;20,1683;2020-02-23;"Albania";0;0;0
"136";"Albania";41,1533;20,1683;2020-02-24;"Albania";0;0;0
"137";"Albania";41,1533;20,1683;2020-02-25;"Albania";0;0;0
"138";"Albania";41,1533;20,1683;2020-02-26;"Albania";0;0;0
"139";"Albania";41,1533;20,1683;2020-02-27;"Albania";0;0;0
"140";"Albania";41,1533;20,1683;2020-02-28;"Albania";0;0;0
"141";"Albania";41,1533;20,1683;2020-02-29;"Albania";0;0;0
"142";"Albania";41,1533;20,1683;2020-03-01;"Albania";0;0;0
